METHOD,PARAMS,TIME,CI,CI_CENS,IBS,IAUC,CRIT,CI_mean,CI_CENS_mean,IBS_mean,IAUC_mean,table_path
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['htreat', 'menostat', 'tumgrad'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'only_hazard', 'max_features': 0.7, 'min_samples_leaf': 5, 'mode_wei': 'square', 'n_estimators': 15, 'n_jobs': 1, 'size_sample': 0.5, 'weighted_tree': True}",54.45297694206238,"[0.60978192, 0.64530006, 0.59716251, 0.61056604, 0.59090909]","[0.69536073, 0.70160579, 0.6328585, 0.69080033, 0.66261701]","[0.1697519, 0.21784947, 0.17847732, 0.16718714, 0.15928764]","[0.69411139, 0.75180668, 0.6083664, 0.72161708, 0.67249772]",weights,0.6107439244390592,0.6766484719665037,0.1785106935831401,0.6896798558238005,GBSG\leaf_models_GBSG_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['htreat', 'menostat', 'tumgrad'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'only_hazard', 'max_features': 0.7, 'min_samples_leaf': 5, 'mode_wei': 'square', 'n_estimators': 15, 'n_jobs': 1, 'size_sample': 0.7, 'weighted_tree': True}",69.42195558547974,"[0.62047427, 0.63981501, 0.59630267, 0.61369272, 0.59230604]","[0.69200917, 0.71413446, 0.63646724, 0.67945545, 0.6566421]","[0.17841642, 0.21627296, 0.17588545, 0.17250354, 0.15640634]","[0.72338817, 0.74657049, 0.62598593, 0.71324262, 0.7094879]",weights,0.6125181431627096,0.6757416841101507,0.1798969416784423,0.7037350220137737,GBSG\leaf_models_GBSG_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['htreat', 'menostat', 'tumgrad'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'only_hazard', 'max_features': 0.7, 'min_samples_leaf': 5, 'mode_wei': 'square', 'n_estimators': 25, 'n_jobs': 1, 'size_sample': 0.5, 'weighted_tree': True}",88.68860387802124,"[0.62587339, 0.63906216, 0.60081685, 0.62210243, 0.60477112]","[0.70276945, 0.69895888, 0.64045584, 0.69884488, 0.66899024]","[0.16847832, 0.21768593, 0.17486371, 0.16423645, 0.15645334]","[0.71635999, 0.75251423, 0.61124981, 0.74374733, 0.70239215]",weights,0.6185251887436264,0.6820038597156058,0.1763435506282406,0.7052527038201666,GBSG\leaf_models_GBSG_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['htreat', 'menostat', 'tumgrad'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'only_hazard', 'max_features': 0.7, 'min_samples_leaf': 5, 'mode_wei': 'square', 'n_estimators': 25, 'n_jobs': 1, 'size_sample': 0.7, 'weighted_tree': True}",114.4860155582428,"[0.62756722, 0.63239406, 0.59630267, 0.61239892, 0.5825274]","[0.69994708, 0.71342862, 0.63646724, 0.68151815, 0.64987054]","[0.17272185, 0.21697295, 0.17588545, 0.16795783, 0.1564195]","[0.73367626, 0.75136537, 0.62598593, 0.73753163, 0.70549525]",weights,0.6102380552981455,0.6762463268916896,0.1779915148448372,0.7108108865778807,GBSG\leaf_models_GBSG_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['htreat', 'menostat', 'tumgrad'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'only_hazard', 'max_features': 0.7, 'min_samples_leaf': 5, 'mode_wei': 'exp', 'n_estimators': 15, 'n_jobs': 1, 'size_sample': 0.5, 'weighted_tree': True}",54.3752498626709,"[0.6312725, 0.66272317, 0.59071367, 0.61196765, 0.58021706]","[0.71494091, 0.72295747, 0.61082621, 0.6629538, 0.62487552]","[0.16384537, 0.21073987, 0.17243024, 0.166063, 0.1671714]","[0.74497091, 0.75605361, 0.62839802, 0.73342688, 0.65194118]",weights,0.6153788106704615,0.6673107817570545,0.1760499765536983,0.7029581211254934,GBSG\leaf_models_GBSG_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['htreat', 'menostat', 'tumgrad'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'only_hazard', 'max_features': 0.7, 'min_samples_leaf': 5, 'mode_wei': 'exp', 'n_estimators': 15, 'n_jobs': 1, 'size_sample': 0.7, 'weighted_tree': True}",70.01606440544128,"[0.63000212, 0.65132287, 0.605546, 0.5993531, 0.57441436]","[0.69730111, 0.71960473, 0.63475783, 0.64377063, 0.6337383]","[0.17637821, 0.21141679, 0.18019003, 0.17053443, 0.1616599]","[0.70109567, 0.78915841, 0.58881663, 0.68943238, 0.66664205]",weights,0.6121276880420026,0.6658345202809655,0.1800358729836055,0.6870290299893025,GBSG\leaf_models_GBSG_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['htreat', 'menostat', 'tumgrad'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'only_hazard', 'max_features': 0.7, 'min_samples_leaf': 5, 'mode_wei': 'exp', 'n_estimators': 25, 'n_jobs': 1, 'size_sample': 0.5, 'weighted_tree': True}",91.9850606918335,"[0.63677747, 0.64390191, 0.58781169, 0.61013477, 0.60563078]","[0.71864526, 0.70425269, 0.61614435, 0.67223597, 0.65982872]","[0.16180234, 0.21586614, 0.17469814, 0.1650618, 0.15507013]","[0.75790212, 0.74536376, 0.62158877, 0.73824857, 0.71253396]",weights,0.6168513253928234,0.6742213994373538,0.1744997079177233,0.7151274346262809,GBSG\leaf_models_GBSG_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['htreat', 'menostat', 'tumgrad'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'only_hazard', 'max_features': 0.7, 'min_samples_leaf': 5, 'mode_wei': 'exp', 'n_estimators': 25, 'n_jobs': 1, 'size_sample': 0.7, 'weighted_tree': True}",118.5326635837555,"[0.63000212, 0.65035492, 0.6078031, 0.60398922, 0.57441436]","[0.6980067, 0.71431092, 0.64178538, 0.65264026, 0.6337383]","[0.16906553, 0.21385059, 0.17341057, 0.17095498, 0.1616599]","[0.73195744, 0.76551041, 0.60739894, 0.70130702, 0.66664205]",weights,0.6133127404869461,0.6680963128595682,0.1777883133436871,0.6945631710399427,GBSG\leaf_models_GBSG_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['htreat', 'menostat', 'tumgrad'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'only_hazard', 'max_features': 0.7, 'min_samples_leaf': 20, 'mode_wei': 'square', 'n_estimators': 15, 'n_jobs': 1, 'size_sample': 0.5, 'weighted_tree': True}",21.65574765205383,"[0.59120263, 0.64696709, 0.60210662, 0.59304582, 0.62164195]","[0.66272711, 0.70001765, 0.63523267, 0.66161304, 0.68880701]","[0.20135585, 0.22165344, 0.17102129, 0.16373369, 0.14080725]","[0.61797952, 0.75056291, 0.60956188, 0.74172433, 0.73714422]",weights,0.6109928218973002,0.6696794947623235,0.1797143049229867,0.6913945719641091,GBSG\leaf_models_GBSG_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['htreat', 'menostat', 'tumgrad'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'only_hazard', 'max_features': 0.7, 'min_samples_leaf': 20, 'mode_wei': 'square', 'n_estimators': 15, 'n_jobs': 1, 'size_sample': 0.7, 'weighted_tree': True}",29.23529982566833,"[0.60268897, 0.63142611, 0.57029235, 0.61902965, 0.60203095]","[0.68451226, 0.69825304, 0.59563153, 0.68131188, 0.66640112]","[0.17558884, 0.22485276, 0.18210436, 0.16182213, 0.15066967]","[0.69386438, 0.75825308, 0.56659952, 0.74194304, 0.71736344]",weights,0.6050936053534228,0.665221965813007,0.1790075526878109,0.6956046916878388,GBSG\leaf_models_GBSG_full.xlsx
