METHOD,PARAMS,TIME,CI,CI_CENS,IBS,IAUC,CRIT,CI_mean,CI_CENS_mean,IBS_mean,IAUC_mean,table_path
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 5, 'ens_metric_name': 'conc', 'leaf_model': 'base_fast', 'max_features': 0.5, 'min_samples_leaf': 100, 'mode_wei': 'exp', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",107.1566858291626,"[0.75155724, 0.85092347, 0.85003383, 0.87237507, 0.87173263]","[0.64657038, 0.84456574, 0.83681762, 0.82022263, 0.80090368]","[0.12373117, 0.13716937, 0.16976972, 0.16738797, 0.15178134]","[0.77026478, 0.91099175, 0.83333282, 0.76954277, 0.86044689]",weights,0.839324446165931,0.7898160111751055,0.1499679144040683,0.8289158038123856,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 5, 'ens_metric_name': 'conc', 'leaf_model': 'base_fast', 'max_features': 0.5, 'min_samples_leaf': 100, 'mode_wei': 'square', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",102.2818038463593,"[0.7336606, 0.84692193, 0.84499029, 0.86379447, 0.86978716]","[0.62275925, 0.84333796, 0.83163651, 0.82939392, 0.82117936]","[0.12387992, 0.14043038, 0.17281791, 0.16552129, 0.15023853]","[0.79976504, 0.90988169, 0.83441082, 0.75470268, 0.87592075]",weights,0.8318308909216263,0.7896614005463313,0.1505776061462739,0.8349361945006908,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 5, 'ens_metric_name': 'conc', 'leaf_model': 'base_fast', 'max_features': 0.7, 'min_samples_leaf': 100, 'mode_wei': 'exp', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",118.9219925403595,"[0.74967443, 0.85047321, 0.84749548, 0.87448301, 0.87063273]","[0.64543733, 0.85113169, 0.83508051, 0.82724775, 0.83063086]","[0.12086976, 0.13471495, 0.17029638, 0.16134071, 0.15149762]","[0.78719341, 0.91369738, 0.82861748, 0.76465589, 0.84704862]",weights,0.8385517697847668,0.7979056293473026,0.1477438848044495,0.8282425551317703,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 5, 'ens_metric_name': 'conc', 'leaf_model': 'base_fast', 'max_features': 0.7, 'min_samples_leaf': 100, 'mode_wei': 'square', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",117.3943612575531,"[0.75162787, 0.84867439, 0.8409705, 0.86947859, 0.87534693]","[0.63042008, 0.85141195, 0.82917435, 0.82461512, 0.8266129]","[0.12399422, 0.1347206, 0.1725513, 0.1663972, 0.15020718]","[0.78244491, 0.91664437, 0.82397149, 0.75003149, 0.86268222]",weights,0.8372196562920058,0.7924468785661475,0.1495740993978286,0.8271548956687133,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 5, 'ens_metric_name': 'conc', 'leaf_model': 'wei_survive', 'max_features': 0.5, 'min_samples_leaf': 100, 'mode_wei': 'exp', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",102.8199169635773,"[0.74786446, 0.85182177, 0.842065, 0.87139551, 0.8788876]","[0.6509335, 0.84654086, 0.84080541, 0.81969324, 0.82358156]","[0.12260477, 0.13732915, 0.1617512, 0.16370396, 0.14662201]","[0.78566399, 0.89707575, 0.85104008, 0.75120993, 0.86932076]",weights,0.8384068658297819,0.796310916687119,0.1464022182805639,0.8308621027841088,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 5, 'ens_metric_name': 'conc', 'leaf_model': 'wei_survive', 'max_features': 0.5, 'min_samples_leaf': 100, 'mode_wei': 'square', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",103.0465602874756,"[0.74546293, 0.85157898, 0.84902778, 0.87325689, 0.8682165]","[0.61418521, 0.84839588, 0.82891756, 0.81827677, 0.79584191]","[0.13035181, 0.13520338, 0.16706266, 0.17220812, 0.15670167]","[0.76321192, 0.9059651, 0.82329603, 0.75111785, 0.81381999]",weights,0.8375086175995815,0.7811234659029589,0.1523055267659683,0.8114821795177182,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 5, 'ens_metric_name': 'conc', 'leaf_model': 'wei_survive', 'max_features': 0.7, 'min_samples_leaf': 100, 'mode_wei': 'exp', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",117.4530038833618,"[0.75670462, 0.85209545, 0.84763036, 0.87833239, 0.86172415]","[0.64383075, 0.8489297, 0.83752757, 0.83291364, 0.80194749]","[0.12106493, 0.12908177, 0.1668411, 0.15957688, 0.15864092]","[0.77447375, 0.91002344, 0.84165228, 0.75573582, 0.83626937]",weights,0.8392973947126825,0.7930298295953843,0.1470411190849649,0.8236309344564443,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 5, 'ens_metric_name': 'conc', 'leaf_model': 'wei_survive', 'max_features': 0.7, 'min_samples_leaf': 100, 'mode_wei': 'square', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",118.7188544273376,"[0.75665164, 0.8515834, 0.84397539, 0.87428976, 0.86881888]","[0.64849828, 0.85050446, 0.83654572, 0.82412866, 0.80462137]","[0.12706417, 0.13619727, 0.16974653, 0.16176802, 0.15174153]","[0.78846885, 0.89680255, 0.82862394, 0.75387377, 0.84541128]",weights,0.8390638165777631,0.792859695972522,0.1493035039887652,0.822636077904859,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 5, 'ens_metric_name': 'ibs', 'leaf_model': 'base_fast', 'max_features': 0.5, 'min_samples_leaf': 100, 'mode_wei': 'exp', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",160.2189054489136,"[0.7524556, 0.85066082, 0.8493307, 0.87201745, 0.87302441]","[0.64557262, 0.84469919, 0.83554877, 0.82033709, 0.80219057]","[0.12415409, 0.13622804, 0.16944477, 0.16671077, 0.15155865]","[0.77107357, 0.91420086, 0.83655504, 0.76992089, 0.86048915]",weights,0.8394977944233026,0.7896696503689336,0.14961926579939,0.8304478998649184,ONK\ONK_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['Диагноз'], 'criterion': 'weights', 'depth': 5, 'ens_metric_name': 'ibs', 'leaf_model': 'base_fast', 'max_features': 0.5, 'min_samples_leaf': 100, 'mode_wei': 'square', 'n_estimators': 30, 'n_jobs': 2, 'size_sample': 0.9}",155.7966754436493,"[0.73592086, 0.84158949, 0.84106558, 0.8587323, 0.85837535]","[0.60943313, 0.82054396, 0.82879671, 0.82836376, 0.8101407]","[0.12474997, 0.13489989, 0.17444115, 0.16330294, 0.14322349]","[0.79362849, 0.88809276, 0.82817175, 0.75934757, 0.85590298]",weights,0.8271367154070358,0.7794556533799591,0.1481234865614736,0.8250287098191041,ONK\ONK_full.xlsx
