METHOD,PARAMS,TIME,CI,CI_CENS,IBS,IAUC,CRIT,CI_mean,CI_CENS_mean,IBS_mean,IAUC_mean,table_path
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['trt', 'sex', 'ascites', 'hepato', 'spiders'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'ibs', 'leaf_model': 'only_hazard', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'mode_wei': 'square', 'n_estimators': 25, 'n_jobs': 1, 'size_sample': 0.5, 'weighted_tree': True}",120.7043738365173,"[0.6880117, 0.6527977, 0.6934558, 0.51558824, 0.63282398]","[0.81905242, 0.8167982, 0.80757098, 0.69832736, 0.76713483]","[0.35359755, 0.13991128, 0.1213682, 0.14908767, 0.18349341]","[0.86455693, 0.61041955, 0.66797184, 0.73910767, 0.85382324]",weights,0.6365354824847582,0.781776756903606,0.1894916226331724,0.7471758464928383,PBC\1911_leaf_models_table_PBC_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['trt', 'sex', 'ascites', 'hepato', 'spiders'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'ibs', 'leaf_model': 'only_hazard', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'mode_wei': 'square', 'n_estimators': 25, 'n_jobs': 1, 'size_sample': 0.7, 'weighted_tree': True}",142.7682547569275,"[0.65643275, 0.66398852, 0.69144661, 0.52970588, 0.61798413]","[0.83669355, 0.80439684, 0.83091483, 0.72162485, 0.7258427]","[0.4692149, 0.14056044, 0.12330051, 0.15496947, 0.19434274]","[0.81408928, 0.67513161, 0.67478219, 0.73381582, 0.84328925]",weights,0.6319115795732132,0.7838945530927675,0.2164776130196576,0.748221630044951,PBC\1911_leaf_models_table_PBC_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['trt', 'sex', 'ascites', 'hepato', 'spiders'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'ibs', 'leaf_model': 'only_hazard', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'mode_wei': 'exp', 'n_estimators': 25, 'n_jobs': 1, 'size_sample': 0.5, 'weighted_tree': True}",127.4688622951508,"[0.67923977, 0.6697274, 0.69603904, 0.51, 0.65971202]","[0.81955645, 0.79537768, 0.82397476, 0.68817204, 0.79550562]","[0.45337187, 0.13292122, 0.12048678, 0.15250039, 0.16351882]","[0.82191965, 0.62902127, 0.6732535, 0.74032166, 0.85782426]",weights,0.6429436447272929,0.7845173107145899,0.2045598171178803,0.7444680689429564,PBC\1911_leaf_models_table_PBC_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['trt', 'sex', 'ascites', 'hepato', 'spiders'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'ibs', 'leaf_model': 'only_hazard', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'mode_wei': 'exp', 'n_estimators': 25, 'n_jobs': 1, 'size_sample': 0.7, 'weighted_tree': True}",155.4582228660583,"[0.72953216, 0.66111908, 0.69288175, 0.52529412, 0.60549515]","[0.86693548, 0.80270575, 0.8170347, 0.72461171, 0.74325843]","[0.37876892, 0.13952976, 0.12612122, 0.15508405, 0.16926108]","[0.87677354, 0.6497013, 0.68363773, 0.73999348, 0.85467212]",weights,0.6428644519252817,0.7909092138707089,0.1937530040842657,0.7609556339761829,PBC\1911_leaf_models_table_PBC_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['trt', 'sex', 'ascites', 'hepato', 'spiders'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'ibs', 'leaf_model': 'only_hazard', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'mode_wei': 'square', 'n_estimators': 25, 'n_jobs': 1, 'size_sample': 0.5, 'weighted_tree': True}",74.47397923469543,"[0.70350877, 0.66944046, 0.68140069, 0.56176471, 0.64942698]","[0.83165323, 0.80101466, 0.80946372, 0.77718041, 0.75898876]","[0.47209371, 0.13278857, 0.10478261, 0.13591556, 0.15827085]","[0.85051809, 0.62390839, 0.69038536, 0.84356408, 0.86642238]",weights,0.6531083203966997,0.7956601549211685,0.2007702582406138,0.7749596596880798,PBC\1911_leaf_models_table_PBC_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['trt', 'sex', 'ascites', 'hepato', 'spiders'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'ibs', 'leaf_model': 'only_hazard', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'mode_wei': 'square', 'n_estimators': 25, 'n_jobs': 1, 'size_sample': 0.7, 'weighted_tree': True}",88.60931420326233,"[0.69210526, 0.67202296, 0.68025258, 0.54117647, 0.67396415]","[0.83064516, 0.79368658, 0.80126183, 0.73715651, 0.78483146]","[0.42969205, 0.13126501, 0.11896496, 0.13609554, 0.17122757]","[0.87224295, 0.64721996, 0.66682108, 0.77531122, 0.86585905]",weights,0.6519042843575015,0.7895163093917035,0.1974490247073095,0.7654908509099984,PBC\1911_leaf_models_table_PBC_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['trt', 'sex', 'ascites', 'hepato', 'spiders'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'ibs', 'leaf_model': 'only_hazard', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'mode_wei': 'exp', 'n_estimators': 25, 'n_jobs': 1, 'size_sample': 0.5, 'weighted_tree': True}",75.2658941745758,"[0.72339181, 0.67804878, 0.70264064, 0.55764706, 0.65310021]","[0.87096774, 0.79706877, 0.80694006, 0.75268817, 0.76095506]","[0.45174933, 0.12776592, 0.10943448, 0.14088407, 0.15059724]","[0.88162609, 0.66865403, 0.71989134, 0.79275944, 0.87646441]",weights,0.6629657001633669,0.7977239608776845,0.1960862079669086,0.7878790598682023,PBC\1911_leaf_models_table_PBC_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['trt', 'sex', 'ascites', 'hepato', 'spiders'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'ibs', 'leaf_model': 'only_hazard', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'mode_wei': 'exp', 'n_estimators': 25, 'n_jobs': 1, 'size_sample': 0.7, 'weighted_tree': True}",92.68948817253113,"[0.70555556, 0.66284075, 0.69029851, 0.54411765, 0.63062004]","[0.85685484, 0.8167982, 0.82649842, 0.74014337, 0.73483146]","[0.51370325, 0.12965699, 0.10330724, 0.14435633, 0.15134478]","[0.87640881, 0.62884345, 0.69811897, 0.75098392, 0.87129704]",weights,0.6466864994543511,0.79502525748785,0.2084737181709081,0.7651304385151554,PBC\1911_leaf_models_table_PBC_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['trt', 'sex', 'ascites', 'hepato', 'spiders'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'ibs', 'leaf_model': 'only_survive', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'mode_wei': 'square', 'n_estimators': 25, 'n_jobs': 1, 'size_sample': 0.5, 'weighted_tree': True}",120.6820192337036,"[0.71315789, 0.6579627, 0.69029851, 0.52529412, 0.61548634]","[0.84929435, 0.76719278, 0.80757098, 0.7078853, 0.74634831]","[0.49228358, 0.14183091, 0.10917437, 0.14550188, 0.14246532]","[0.45926658, 0.40212879, 0.47328727, 0.42432572, 0.80190782]",weights,0.6404399105413733,0.7756583473380697,0.2062512095643459,0.5121832376743994,PBC\1911_leaf_models_table_PBC_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': ['trt', 'sex', 'ascites', 'hepato', 'spiders'], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'ibs', 'leaf_model': 'only_survive', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'mode_wei': 'square', 'n_estimators': 25, 'n_jobs': 1, 'size_sample': 0.7, 'weighted_tree': True}",140.6991624832153,"[0.70116959, 0.66456241, 0.68857635, 0.54235294, 0.63884808]","[0.83618952, 0.79537768, 0.8214511, 0.71684588, 0.76235955]","[0.55375253, 0.13202894, 0.10604087, 0.1429811, 0.15250131]","[0.48017344, 0.3985824, 0.43497576, 0.40828643, 0.57288947]",weights,0.6471018732803164,0.7864447452985605,0.2174609478274353,0.4589814971808253,PBC\1911_leaf_models_table_PBC_full.xlsx
