METHOD,PARAMS,TIME,CI,CI_CENS,IBS,IAUC,CRIT,CI_mean,CI_CENS_mean,IBS_mean,IAUC_mean,table_path
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': [], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'base_fast', 'max_features': 0.7, 'min_samples_leaf': 10, 'mode_wei': 'exp', 'n_estimators': 20, 'n_jobs': 1, 'size_sample': 0.7}",207.7320182323456,"[0.76696833, 0.68551777, 0.79751131, 0.7623725, 0.73356138]","[0.89780154, 0.90060852, 0.90994997, 0.86912181, 0.86256089]","[0.11110414, 0.09946989, 0.12328782, 0.10333058, 0.21417042]","[0.95683206, 0.63864917, 0.52361782, 0.56599214, 0.91873146]",weights,0.7491862574234334,0.8880085480225389,0.1302725693387763,0.7207645307527188,WUHAN\10_25_min_sample\wei_survive_WUHAN_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': [], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'base_fast', 'max_features': 0.7, 'min_samples_leaf': 10, 'mode_wei': 'linear', 'n_estimators': 20, 'n_jobs': 1, 'size_sample': 0.7}",211.9926843643188,"[0.77865762, 0.73786779, 0.7918552, 0.75255006, 0.75769669]","[0.90017825, 0.89384719, 0.91050584, 0.89348442, 0.8921364]","[0.11086531, 0.0858456, 0.12090717, 0.10765182, 0.17279935]","[0.95260173, 0.64410767, 0.59527188, 0.5761147, 0.95003296]",weights,0.763725471599251,0.8980304196553428,0.1196138506172478,0.7436257858540797,WUHAN\10_25_min_sample\wei_survive_WUHAN_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': [], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'base_fast', 'max_features': 0.7, 'min_samples_leaf': 25, 'mode_wei': 'exp', 'n_estimators': 20, 'n_jobs': 1, 'size_sample': 0.7}",108.3397264480591,"[0.75414781, 0.67863966, 0.77978884, 0.73366075, 0.73736222]","[0.88651218, 0.89858012, 0.92273485, 0.89688385, 0.87578288]","[0.12151306, 0.09047124, 0.11298999, 0.09686682, 0.21029199]","[0.95139596, 0.63809791, 0.6099645, 0.6026084, 0.93022658]",weights,0.7367198566051536,0.8960987777445858,0.1264266197133247,0.746458670584517,WUHAN\10_25_min_sample\wei_survive_WUHAN_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': [], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'base_fast', 'max_features': 0.7, 'min_samples_leaf': 25, 'mode_wei': 'linear', 'n_estimators': 20, 'n_jobs': 1, 'size_sample': 0.7}",111.8729386329651,"[0.76696833, 0.65876958, 0.77394419, 0.74234983, 0.73185101]","[0.89423648, 0.8897904, 0.90911618, 0.88101983, 0.861865]","[0.11178003, 0.09702252, 0.1138866, 0.11055249, 0.18981352]","[0.95484556, 0.6371814, 0.61900886, 0.60896392, 0.93278217]",weights,0.7347765879128111,0.8872055767183925,0.1246110338273457,0.750556382976826,WUHAN\10_25_min_sample\wei_survive_WUHAN_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': [], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'wei_survive', 'max_features': 0.7, 'min_samples_leaf': 10, 'mode_wei': 'exp', 'n_estimators': 20, 'n_jobs': 1, 'size_sample': 0.7}",208.1539866924286,"[0.81674208, 0.72984333, 0.79920814, 0.76161692, 0.7250095]","[0.92335116, 0.90736984, 0.92078933, 0.89121813, 0.86986778]","[0.09887042, 0.09855574, 0.12408513, 0.10086784, 0.21449727]","[0.9630018, 0.64791156, 0.59405322, 0.6011941, 0.91009873]",weights,0.7664839970429931,0.90251924818959,0.1273752810048831,0.7432518798339733,WUHAN\10_25_min_sample\wei_survive_WUHAN_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': [], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'wei_survive', 'max_features': 0.7, 'min_samples_leaf': 10, 'mode_wei': 'linear', 'n_estimators': 20, 'n_jobs': 1, 'size_sample': 0.7}",208.0741441249847,"[0.7658371, 0.68475353, 0.75603318, 0.7378164, 0.74857469]","[0.85680333, 0.88505747, 0.90550306, 0.87648725, 0.88239388]","[0.12262457, 0.09232054, 0.12510677, 0.09755373, 0.19143189]","[0.95077735, 0.63777502, 0.60799853, 0.56383515, 0.93342761]",weights,0.738602980701735,0.8812489968330869,0.1258075000692965,0.7387627310162492,WUHAN\10_25_min_sample\wei_survive_WUHAN_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': [], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'wei_survive', 'max_features': 0.7, 'min_samples_leaf': 25, 'mode_wei': 'exp', 'n_estimators': 20, 'n_jobs': 1, 'size_sample': 0.7}",109.1552782058716,"[0.76809955, 0.69124952, 0.77319005, 0.75519456, 0.74743444]","[0.88770053, 0.89519946, 0.91078377, 0.90538244, 0.88935282]","[0.11072268, 0.09855732, 0.11998135, 0.09951086, 0.20275914]","[0.94912833, 0.63878135, 0.59869178, 0.60299492, 0.93694514]",weights,0.7470336221137913,0.8976838034491987,0.1263062673626024,0.745308304219364,WUHAN\10_25_min_sample\wei_survive_WUHAN_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': [], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'conc', 'leaf_model': 'wei_survive', 'max_features': 0.7, 'min_samples_leaf': 25, 'mode_wei': 'linear', 'n_estimators': 20, 'n_jobs': 1, 'size_sample': 0.7}",110.7187139987946,"[0.73567119, 0.66813145, 0.76131222, 0.76086135, 0.74059293]","[0.85442662, 0.88640974, 0.90772651, 0.89348442, 0.86151705]","[0.1302519, 0.09504734, 0.11766597, 0.09395181, 0.18910155]","[0.94621834, 0.62965579, 0.61974335, 0.64025118, 0.93541589]",weights,0.7333138279780936,0.880712867768634,0.125203712787418,0.754256909639557,WUHAN\10_25_min_sample\wei_survive_WUHAN_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': [], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'ibs', 'leaf_model': 'base_fast', 'max_features': 0.7, 'min_samples_leaf': 10, 'mode_wei': 'exp', 'n_estimators': 20, 'n_jobs': 1, 'size_sample': 0.7}",208.1904306411743,"[0.67156863, 0.67137944, 0.79110106, 0.7623725, 0.73622197]","[0.72222222, 0.90331305, 0.91050584, 0.87025496, 0.86256089]","[0.12044082, 0.09195034, 0.12724242, 0.10227574, 0.21257003]","[0.89338386, 0.64340518, 0.52720142, 0.57231484, 0.9134429]",weights,0.7265287182733902,0.8537713912814923,0.1308958701054684,0.7099496430775032,WUHAN\10_25_min_sample\wei_survive_WUHAN_full.xlsx
BoostingCRAID,"{'aggreg_func': 'wei', 'categ': [], 'criterion': 'weights', 'depth': 15, 'ens_metric_name': 'ibs', 'leaf_model': 'base_fast', 'max_features': 0.7, 'min_samples_leaf': 10, 'mode_wei': 'linear', 'n_estimators': 20, 'n_jobs': 1, 'size_sample': 0.7}",214.2169375419617,"[0.67156863, 0.62476118, 0.66591252, 0.74763884, 0.74629418]","[0.72222222, 0.79716024, 0.7651473, 0.8917847, 0.88239388]","[0.12044082, 0.09860044, 0.1774152, 0.10874398, 0.18579855]","[0.89338386, 0.59065899, 0.58428479, 0.54269718, 0.93877817]",weights,0.6912350688728077,0.8117416696736285,0.1381997965543728,0.7099605999750306,WUHAN\10_25_min_sample\wei_survive_WUHAN_full.xlsx
